,0,1,m,alpha
0,-1.1915564583577063,0.0,4,0.4
1,-1.5479349250418055,0.0,4,0.4
2,-1.482415423565787,0.0,4,0.4
3,-1.0467766568144787,0.0,4,0.4
4,-1.4624447732631973,0.0,4,0.4
5,-1.6467119036971622,0.0,4,0.4
6,-1.643251412652545,0.0,4,0.4
7,-1.7090984814112145,0.0,4,0.4
8,-1.1599292650109823,0.0,4,0.4
9,-1.3400816330638816,0.0,4,0.4
10,-1.6438115845568535,0.0,4,0.4
11,-1.4911964918101637,0.0,4,0.4
12,-1.2382221676699063,0.0,4,0.4
13,-1.478311404732699,0.0,4,0.4
14,-1.7280876211025529,0.0,4,0.4
15,-1.8113132963631113,0.0,4,0.4
16,-1.666268668299135,0.0,4,0.4
17,-1.4974733280711432,0.0,4,0.4
18,-1.4805316271949205,0.0,4,0.4
19,-2.005206284423069,0.0,4,0.4
20,-1.5114438632679483,0.0,4,0.4
21,-1.6339903396040285,0.0,4,0.4
22,-1.3629490287498804,0.0,4,0.4
23,-1.7762102328827607,0.0,4,0.4
24,-1.6215411373718742,0.0,4,0.4
25,-1.4864337598719208,0.0,4,0.4
26,-1.4466005629256993,0.0,4,0.4
27,-1.9493795442653123,0.0,4,0.4
28,-1.6201938751030427,0.0,4,0.4
29,-1.3426390219148523,0.0,4,0.4
30,-1.188385780989954,0.0,4,0.4
31,-1.301159229936775,0.0,4,0.4
32,-1.9182677372911503,0.0,4,0.4
33,-1.1933279276957234,0.0,4,0.4
34,-1.6228544346032068,0.0,4,0.4
35,-1.3767299565978763,0.0,4,0.4
36,-1.8741598791023064,0.0,4,0.4
37,-1.2209441305909607,0.0,4,0.4
38,-1.5020851599213338,0.0,4,0.4
39,-1.534894213433531,0.0,4,0.4
40,-2.0997501711504283,0.0,4,0.4
41,-1.4240473954497035,0.0,4,0.4
42,-1.4049693727358963,0.0,4,0.4
43,-1.3837888564274854,0.0,4,0.4
44,-1.1746436009436847,0.0,4,0.4
45,-1.1448672046872104,0.0,4,0.4
46,-1.771789025053198,0.0,4,0.4
47,-1.7821972498773975,0.0,4,0.4
48,-1.779757972388738,0.0,4,0.4
49,-1.8695214105408025,0.0,4,0.4
50,-1.839686428579475,0.0,4,0.4
51,-1.8462247786277066,0.0,4,0.4
52,-1.1314501714967622,0.0,4,0.4
53,-1.7920614060469684,0.0,4,0.4
54,-1.788425247008153,0.0,4,0.4
55,-1.327228763372347,0.0,4,0.4
56,-1.213112266547916,0.0,4,0.4
57,-1.8649385061239798,0.0,4,0.4
58,-1.6776007907563393,0.0,4,0.4
59,-1.3223447274154674,0.0,4,0.4
60,-1.2048914021715564,0.0,4,0.4
61,-1.4957509773380995,0.0,4,0.4
62,-1.3677128634181281,0.0,4,0.4
63,-1.5200067994545867,0.0,4,0.4
64,-1.2556124966161832,0.0,4,0.4
65,-1.230111204631074,0.0,4,0.4
66,-1.2510894892737578,0.0,4,0.4
67,-1.9457164257799093,0.0,4,0.4
68,-1.6359008722395756,0.0,4,0.4
69,-1.5776172354279665,0.0,4,0.4
70,-1.3824124320046605,0.0,4,0.4
71,-1.3207853877898685,0.0,4,0.4
72,-1.416089805318881,0.0,4,0.4
73,-1.8288005714100029,0.0,4,0.4
74,-1.202745112494081,0.0,4,0.4
75,-1.208366560024611,0.0,4,0.4
76,-1.3036555836549175,0.0,4,0.4
77,-1.1981754795577202,0.0,4,0.4
78,-1.3121700285441387,0.0,4,0.4
79,-1.7928482091163052,0.0,4,0.4
80,-1.284454614394107,0.0,4,0.4
81,-1.3876300371868993,0.0,4,0.4
82,-1.4812992375002354,0.0,4,0.4
83,-2.0790836549242866,0.0,4,0.4
84,-1.7654370869361213,0.0,4,0.4
85,-1.563967038621013,0.0,4,0.4
86,-1.4384658974335045,0.0,4,0.4
