,0,1,2,m,alpha
0,-1.1915564583577063,-0.11667478479728624,0.0,2,0.6
1,-1.0467766568144787,-0.2093006841905237,0.0,2,0.6
2,-0.37046093540256386,-0.6589158748026215,0.0,2,0.6
3,-0.5209246301489979,-0.036034204471908526,0.0,2,0.6
4,-0.6274344898112617,-0.09744882888615772,0.0,2,0.6
5,-0.5585055084661521,0.08488636445439547,0.0,2,0.6
6,-1.1599292650109823,-0.35883979548057526,0.0,2,0.6
7,-0.6044755998027236,-0.08157289496741402,0.0,2,0.6
8,-0.9503169291695965,0.02537104785858208,0.0,2,0.6
9,-0.7842326614582393,-0.3792757362194992,0.0,2,0.6
10,-0.5772863507005488,0.08508822031006619,0.0,2,0.6
11,-0.3052469021368933,-0.35978537992320997,0.0,2,0.6
12,-1.0145524016196312,-0.49266264617808947,0.0,2,0.6
13,-0.33051287437518584,0.0027581688784689804,0.0,2,0.6
14,-1.0621409127425019,-0.2478784273286112,0.0,2,0.6
15,-0.6021421380647517,-0.13604387732158013,0.0,2,0.6
16,-0.547798951529102,-0.08032502575741178,0.0,2,0.6
17,-1.188385780989954,-0.4687278509810649,0.0,2,0.6
18,-1.1933279276957234,-0.5563465801606531,0.0,2,0.6
19,-0.6383301504671866,-0.1647903778888744,0.0,2,0.6
20,-0.9334126738280462,-0.28200662166087864,0.0,2,0.6
21,-0.4331912016656852,-0.11414397654893235,0.0,2,0.6
22,-1.2209441305909607,-0.5601601857587191,0.0,2,0.6
23,-0.7838850461038976,0.16454984591392532,0.0,2,0.6
24,-0.6686857163019237,-0.18889421245257768,0.0,2,0.6
25,-1.0173527572900982,-0.24794921045553245,0.0,2,0.6
26,-1.0670263776065372,-0.2682832496925656,0.0,2,0.6
27,-1.1746436009436847,-0.6708895237796512,0.0,2,0.6
28,-0.36568585575972373,-0.48580715378796197,0.0,2,0.6
29,-1.1448672046872104,-0.31552183933127476,0.0,2,0.6
30,-0.35229158930367577,-0.65270450521882,0.0,2,0.6
31,-1.0661735270803312,-0.421130337687612,0.0,2,0.6
32,-0.6282087124664061,-0.16363437006654818,0.0,2,0.6
33,-0.7465845170299655,-0.15214465216239373,0.0,2,0.6
34,-1.1314501714967622,-0.2775531253689089,0.0,2,0.6
35,-0.9983324691660458,-0.28993886099305255,0.0,2,0.6
36,-0.7075137908725586,-0.07622861430589063,0.0,2,0.6
37,-1.213112266547916,-0.3953475523429953,0.0,2,0.6
38,-1.3223447274154674,-0.4133694807956775,0.0,2,0.6
39,-1.2048914021715564,-0.35926105503637507,0.0,2,0.6
40,-0.6244951516870255,-0.314271114109542,0.0,2,0.6
41,-1.2556124966161832,-0.8444745886558378,0.0,2,0.6
42,-0.9477042493947546,-0.19169595001187462,0.0,2,0.6
43,-0.8078995996275999,-0.1652855208682491,0.0,2,0.6
44,-1.230111204631074,-0.4822818283649031,0.0,2,0.6
45,-0.43767755200921826,-0.06456113768513372,0.0,2,0.6
46,-1.0888278875221375,-0.14689805756501015,0.0,2,0.6
47,-1.2510894892737578,-0.6143046006498797,0.0,2,0.6
48,-0.9414984677401596,0.09967064967747363,0.0,2,0.6
49,-0.8795873025095376,-0.31315175230778175,0.0,2,0.6
50,-0.6580238177747105,-0.18886847988983732,0.0,2,0.6
51,-0.4524079000346585,-0.40137810321423023,0.0,2,0.6
52,-0.9968432580694555,-0.04743900633154743,0.0,2,0.6
53,-0.4940773680323887,-0.22354682961847167,0.0,2,0.6
54,-1.202745112494081,-0.2554766196553105,0.0,2,0.6
55,-1.208366560024611,-0.5705320450271096,0.0,2,0.6
56,-0.9705416221188032,-0.44670593196352487,0.0,2,0.6
57,-1.3036555836549175,-0.9733698116056967,0.0,2,0.6
58,-1.1981754795577202,-0.34330525048498495,0.0,2,0.6
59,-0.5522236530810488,-0.07040729685491326,0.0,2,0.6
60,-1.3121700285441387,-0.37742020012359034,0.0,2,0.6
61,-0.4310959569445409,-0.1384646297365531,0.0,2,0.6
62,-0.8490685242347397,-0.06590834080334133,0.0,2,0.6
63,-0.6891961240124483,-0.13668106419592643,0.0,2,0.6
64,-1.284454614394107,-0.29755448061147666,0.0,2,0.6
65,-0.9512305707740007,-0.4627260369997201,0.0,2,0.6
66,-1.3876300371868993,-0.8297330705834775,0.0,2,0.6
67,-1.042765292179439,0.08261602752459267,0.0,2,0.6
68,-0.36591407666435277,-0.29733684559598467,0.0,2,0.6
69,-0.8124813458200765,-0.42246812951856316,0.0,2,0.6
70,-0.6858858128616933,-0.19934700096372565,0.0,2,0.6
71,-0.6663972632291838,-0.11876030935814956,0.0,2,0.6
72,-1.3373061297592002,-0.6072507634094678,0.0,2,0.6
73,-0.6292193387631352,-0.1586652331523931,0.0,2,0.6
74,-0.8489535444365929,-0.18930998902418672,0.0,2,0.6
75,-0.8470974241583961,0.1869997340869557,0.0,2,0.6
76,-0.30136912811378563,-0.2866596769527367,0.0,2,0.6
77,-0.547599776675686,0.09382277388913472,0.0,2,0.6
78,-1.264275016473741,-0.36406227912768757,0.0,2,0.6
79,-0.5617877096179734,-0.08162574864810647,0.0,2,0.6
80,-0.3102038294228323,-0.28232668523685006,0.0,2,0.6
81,-0.6297276987843095,-0.10435078589321285,0.0,2,0.6
82,-0.4370678365498601,-0.09810998742862082,0.0,2,0.6
83,-0.6699058871189713,-0.3603694160065639,0.0,2,0.6
84,-1.1399146228254031,-0.287971736737688,0.0,2,0.6
85,-0.9280954135288846,0.09448120451648973,0.0,2,0.6
86,-1.1303589658191548,-0.48533504858627274,0.0,2,0.6
87,-0.976284622438635,-0.5158122697674247,0.0,2,0.6
88,-0.9617730592474337,-0.21986900567494805,0.0,2,0.6
89,-0.6047216325033008,0.0805923477465277,0.0,2,0.6
90,-1.3584541837149857,-0.6761504631660206,0.0,2,0.6
91,-1.2505643186975652,-0.8170473925344971,0.0,2,0.6
92,-0.5626206027816707,-0.08302103617042825,0.0,2,0.6
93,-0.7117866305240313,0.027131686572439122,0.0,2,0.6
94,-1.2875106212177274,-0.35872938103932994,0.0,2,0.6
95,-0.7707520492986426,-0.45762169890641513,0.0,2,0.6
96,-0.8628120741056665,0.1798913577800021,0.0,2,0.6
97,-0.9720854234397529,-0.514332086269888,0.0,2,0.6
98,-0.31607413675166995,-0.26440363487164736,0.0,2,0.6
99,-0.7467443310821971,-0.3540331267763491,0.0,2,0.6
100,-0.6626273529112323,-0.1893083027396924,0.0,2,0.6
101,-0.9343020276707554,0.14793389686164382,0.0,2,0.6
102,-1.312414348041667,-0.36726170389287344,0.0,2,0.6
103,-0.9793032797741794,0.05671578819362297,0.0,2,0.6
104,-1.014548067527396,-0.043481902933962854,0.0,2,0.6
105,-0.9100529780820639,0.12027920845458931,0.0,2,0.6
106,-0.5401715825394072,0.06561418898674719,0.0,2,0.6
107,-0.898835601554596,-0.12762080054821917,0.0,2,0.6
108,-0.41842345710023837,0.15386917363055394,0.0,2,0.6
109,-1.0386272897362012,-0.32817131841866265,0.0,2,0.6
110,-1.2103425060029496,-0.3099319034233798,0.0,2,0.6
111,-0.8798556664890204,0.516933162559122,0.0,2,0.6
112,-1.3600649305953303,-0.6754930493557516,0.0,2,0.6
113,-0.5425331948371284,-0.6480819982789452,0.0,2,0.6
114,-1.0046739140330292,-0.25360833788465986,0.0,2,0.6
115,-0.6408674258437165,0.01651139138596377,0.0,2,0.6
116,-0.8850199037395791,-0.16213020469065362,0.0,2,0.6
117,-0.6296527226605748,-0.16645375055546663,0.0,2,0.6
118,-0.7839915459261119,-0.16963591420436677,0.0,2,0.6
119,-0.9874028775192978,-0.23015969047547685,0.0,2,0.6
120,-0.40775698528694115,-0.7427723559493971,0.0,2,0.6
121,-1.061270654821991,-0.24078256027560746,0.0,2,0.6
122,-0.6367558467045632,-0.09638186366554584,0.0,2,0.6
123,-1.3033673042833986,-0.6346674496326471,0.0,2,0.6
124,-0.5570743349812268,-0.08666781805567214,0.0,2,0.6
125,-0.6074651200141872,-0.08527459796611003,0.0,2,0.6
126,-0.6692824993814597,-0.3562044459696206,0.0,2,0.6
127,-0.3609543318281491,-0.6426424213852787,0.0,2,0.6
